id;seg_type;seg_id;swing_ratios
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.042752867570386
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.8796992481203008
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.96078431372549
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.1494252873563218
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.8416206261510129
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.4084507042253522
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.706484641638225
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.774622892635315
ArtPepper_Anthropology_FINAL.sv;phrases;15;1.6103059581320451
ArtPepper_Anthropology_FINAL.sv;phrases;26;2.8818443804034586
ArtPepper_Anthropology_FINAL.sv;phrases;26;0.7575757575757576
ArtPepper_Anthropology_FINAL.sv;phrases;26;2.372479240806643
ArtPepper_Anthropology_FINAL.sv;phrases;26;1.1534025374855823
ArtPepper_Anthropology_FINAL.sv;phrases;26;1.2330456226880393
ArtPepper_Anthropology_FINAL.sv;phrases;26;0.9775171065493647
ArtPepper_Anthropology_FINAL.sv;phrases;26;2.157497303128371
ArtPepper_Anthropology_FINAL.sv;phrases;26;1.9047619047619049
ArtPepper_Anthropology_FINAL.sv;phrases;26;1.5822784810126582
ArtPepper_Anthropology_FINAL.sv;phrases;26;1.728608470181504
ArtPepper_Anthropology_FINAL.sv;phrases;26;2.1645021645021645
ArtPepper_Anthropology_FINAL.sv;phrases;26;2.202643171806167
ArtPepper_Anthropology_FINAL.sv;phrases;28;2.9585798816568047
ArtPepper_Anthropology_FINAL.sv;phrases;28;1.1185682326621924
ArtPepper_Anthropology_FINAL.sv;phrases;28;1.272264631043257
ArtPepper_Anthropology_FINAL.sv;phrases;28;1.733102253032929
ArtPepper_Anthropology_FINAL.sv;phrases;28;1.3333333333333333
ArtPepper_Anthropology_FINAL.sv;phrases;28;1.172332942555686
ArtPepper_Anthropology_FINAL.sv;phrases;28;0.9082652134423252
ArtPepper_Anthropology_FINAL.sv;phrases;31;2.4213075060532687
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.5797788309636651
ArtPepper_Anthropology_FINAL.sv;phrases;31;0.6510416666666666
ArtPepper_Anthropology_FINAL.sv;phrases;31;0.6662225183211193
ArtPepper_Anthropology_FINAL.sv;phrases;31;2.1436227224008575
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.095290251916758
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.0526315789473684
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.084598698481562
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.6181229773462784
ArtPepper_Anthropology_FINAL.sv;phrases;31;0.851063829787234
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.326259946949602
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.2300123001230012
ArtPepper_Anthropology_FINAL.sv;phrases;31;1.9323671497584545
ArtPepper_Anthropology_FINAL.sv;phrases;35;2.702702702702702
ArtPepper_Anthropology_FINAL.sv;phrases;35;0.9285051067780872
ArtPepper_Anthropology_FINAL.sv;phrases;35;1.124859392575928
ArtPepper_Anthropology_FINAL.sv;phrases;35;0.9337068160597572
ArtPepper_Anthropology_FINAL.sv;phrases;35;1.0718113612004287
ArtPepper_Anthropology_FINAL.sv;phrases;35;1.0718113612004287
ArtPepper_Anthropology_FINAL.sv;phrases;35;1.1890606420927468
ArtPepper_Anthropology_FINAL.sv;phrases;35;0.9442870632672332
ArtPepper_Anthropology_FINAL.sv;phrases;35;0.8733624454148472
ArtPepper_Anthropology_FINAL.sv;phrases;35;2.1367521367521367
ArtPepper_Anthropology_FINAL.sv;phrases;39;1.1655011655011656
ArtPepper_Anthropology_FINAL.sv;phrases;39;0.7616146230007617
ArtPepper_Anthropology_FINAL.sv;phrases;39;2.1459227467811157
ArtPepper_Anthropology_FINAL.sv;phrases;39;1.510574018126888
ArtPepper_Anthropology_FINAL.sv;phrases;39;2.176278563656148
ArtPepper_Anthropology_FINAL.sv;phrases;39;1.0090817356205852
ArtPepper_Anthropology_FINAL.sv;phrases;41;0.9009009009009008
ArtPepper_Anthropology_FINAL.sv;phrases;41;0.927643784786642
ArtPepper_Anthropology_FINAL.sv;phrases;41;0.7770007770007771
ArtPepper_Anthropology_FINAL.sv;phrases;41;1.1682242990654206
ArtPepper_Anthropology_FINAL.sv;phrases;41;1.2135922330097089
ArtPepper_Anthropology_FINAL.sv;phrases;41;1.079913606911447
ArtPepper_Anthropology_FINAL.sv;phrases;41;1.6920473773265652
ArtPepper_Anthropology_FINAL.sv;phrases;44;1.2674271229404308
ArtPepper_Anthropology_FINAL.sv;phrases;44;1.2919896640826871
